Tipo,P,I,J,K,T,Valor
CantidadProductoEnviada,1,1,1,,1,0.0
CantidadProductoEnviada,1,1,1,,2,0.0
CantidadProductoEnviada,1,1,1,,3,0.0
CantidadProductoEnviada,1,1,1,,4,0.0
CantidadProductoEnviada,1,1,1,,5,0.0
CantidadProductoEnviada,1,1,1,,6,0.0
CantidadProductoEnviada,1,1,1,,7,0.0
CantidadProductoEnviada,1,1,1,,8,0.0
CantidadProductoEnviada,1,1,1,,9,0.0
CantidadProductoEnviada,1,1,1,,10,0.0
CantidadProductoEnviada,1,1,1,,11,0.0
CantidadProductoEnviada,1,1,1,,12,0.0
CantidadProductoEnviada,1,1,2,,1,0.0
CantidadProductoEnviada,1,1,2,,2,0.0
CantidadProductoEnviada,1,1,2,,3,0.0
CantidadProductoEnviada,1,1,2,,4,0.0
CantidadProductoEnviada,1,1,2,,5,0.0
CantidadProductoEnviada,1,1,2,,6,0.0
CantidadProductoEnviada,1,1,2,,7,0.0
CantidadProductoEnviada,1,1,2,,8,0.0
CantidadProductoEnviada,1,1,2,,9,0.0
CantidadProductoEnviada,1,1,2,,10,0.0
CantidadProductoEnviada,1,1,2,,11,0.0
CantidadProductoEnviada,1,1,2,,12,0.0
CantidadProductoEnviada,1,1,3,,1,0.0
CantidadProductoEnviada,1,1,3,,2,0.0
CantidadProductoEnviada,1,1,3,,3,0.0
CantidadProductoEnviada,1,1,3,,4,0.0
CantidadProductoEnviada,1,1,3,,5,0.0
CantidadProductoEnviada,1,1,3,,6,0.0
CantidadProductoEnviada,1,1,3,,7,0.0
CantidadProductoEnviada,1,1,3,,8,0.0
CantidadProductoEnviada,1,1,3,,9,0.0
CantidadProductoEnviada,1,1,3,,10,0.0
CantidadProductoEnviada,1,1,3,,11,0.0
CantidadProductoEnviada,1,1,3,,12,0.0
CantidadProductoEnviada,1,2,1,,1,0.0
CantidadProductoEnviada,1,2,1,,2,0.0
CantidadProductoEnviada,1,2,1,,3,0.0
CantidadProductoEnviada,1,2,1,,4,0.0
CantidadProductoEnviada,1,2,1,,5,0.0
CantidadProductoEnviada,1,2,1,,6,0.0
CantidadProductoEnviada,1,2,1,,7,0.0
CantidadProductoEnviada,1,2,1,,8,0.0
CantidadProductoEnviada,1,2,1,,9,0.0
CantidadProductoEnviada,1,2,1,,10,0.0
CantidadProductoEnviada,1,2,1,,11,0.0
CantidadProductoEnviada,1,2,1,,12,0.0
CantidadProductoEnviada,1,2,2,,1,0.0
CantidadProductoEnviada,1,2,2,,2,0.0
CantidadProductoEnviada,1,2,2,,3,0.0
CantidadProductoEnviada,1,2,2,,4,0.0
CantidadProductoEnviada,1,2,2,,5,0.0
CantidadProductoEnviada,1,2,2,,6,0.0
CantidadProductoEnviada,1,2,2,,7,0.0
CantidadProductoEnviada,1,2,2,,8,0.0
